Title                                                           02.11.2020 09:39
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  ^&164-Gd
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
           6971           6971        129.550        130.000        3.76574
           6972           6972        129.557        130.000        3.76579
           6973           6973        129.545        130.000        3.76583
           6974           6974        129.548        130.000        3.76586
           6975           6975        129.550        130.000        3.76592
           6976           6976        129.545        130.000        3.76595
           6977           6977        129.548        130.000        3.76596
           6978           6978        129.538        130.000        3.76596
           6979           6979        129.539        130.000        3.76593
           6980           6980        129.536        130.000        3.76591
           6981           6981        129.544        130.000        3.76588
           6982           6982        129.554        130.000        3.76585
           6983           6983        129.547        130.000        3.76579
           6984           6984        129.539        130.000        3.76574
           6985           6985        129.544        130.000        3.76569
           6986           6986        129.547        130.000        3.76565
           6987           6987        129.543        130.000         3.7656
           6988           6988        129.541        130.000        3.76557
           6989           6989        129.544        130.000        3.76555
           6990           6990        129.543        130.000        3.76554
           6991           6991        129.545        130.000        3.76556
           6992           6992        129.546        130.000        3.76557
           6993           6993        129.544        130.000        3.76558
           6994           6994        129.540        130.000         3.7656
           6995           6995        129.534        130.000        3.76562
           6996           6996        129.543        130.000        3.76563
           6997           6997        129.544        130.000        3.76565
           6998           6998        129.545        130.000        3.76565
           6999           6999        129.544        130.000        3.76566
           7000           7000        129.545        130.000        3.76567
           7001           7001        129.554        130.000        3.76568
           7002           7002        129.554        130.000        3.76571
           7003           7003        129.549        130.000        3.76575
           7004           7004        129.554        130.000        3.76578
           7005           7005        129.547        130.000         3.7658
           7006           7006        129.550        130.000        3.76581
           7007           7007        129.548        130.000         3.7658
           7008           7008        129.541        130.000        3.76576
           7009           7009        129.543        130.000        3.76573
           7010           7010        129.547        130.000        3.76568
           7011           7011        129.544        130.000        3.76564
           7012           7012        129.547        130.000        3.76557
           7013           7013        129.554        130.000        3.76553
           7014           7014        129.546        130.000        3.76549
           7015           7015        129.541        130.000        3.76547
           7016           7016        129.537        130.000        3.76548
           7017           7017        129.546        130.000        3.76549
           7018           7018        129.539        130.000         3.7655
           7019           7019        129.543        130.000        3.76552
           7020           7020        129.540        130.000        3.76556
           7021           7021        129.543        130.000        3.76558
           7022           7022        129.549        130.000         3.7656
           7023           7023        129.542        130.000        3.76562
           7024           7024        129.541        130.000        3.76562
           7025           7025        129.551        130.000        3.76563
           7026           7026        129.550        130.000        3.76564
           7027           7027        129.547        130.000        3.76564
           7028           7028        129.541        130.000        3.76564
           7029           7029        129.549        130.000        3.76563
           7030           7030        129.546        130.000        3.76563
           7031           7031        129.545        130.000        3.76563
           7032           7032        129.546        130.000        3.76562
           7033           7033        129.547        130.000        3.76562
           7034           7034        129.548        130.000        3.76561
           7035           7035        129.547        130.000        3.76561
           7036           7036        129.539        130.000         3.7656
           7037           7037        129.539        130.000        3.76559
           7038           7038        129.549        130.000        3.76556
           7039           7039        129.553        130.000        3.76553
           7040           7040        129.548        130.000        3.76547
           7041           7041        129.547        130.000        3.76542
           7042           7042        129.547        130.000        3.76537
           7043           7043        129.546        130.000        3.76532
           7044           7044        129.546        130.000        3.76527
           7045           7045        129.543        130.000        3.76524
           7046           7046        129.539        130.000        3.76523
           7047           7047        129.543        130.000        3.76522
           7048           7048        129.541        130.000        3.76525
           7049           7049        129.537        130.000        3.76527
           7050           7050        129.543        130.000        3.76529
           7051           7051        129.547        130.000        3.76531
           7052           7052        129.544        130.000        3.76534
           7053           7053        129.550        130.000        3.76537
           7054           7054        129.546        130.000         3.7654
           7055           7055        129.548        130.000        3.76542
           7056           7056        129.554        130.000        3.76545
           7057           7057        129.544        130.000        3.76548
           7058           7058        129.546        130.000         3.7655
           7059           7059        129.540        130.000        3.76552
           7060           7060        129.539        130.000        3.76553
           7061           7061        129.532        130.000        3.76554
           7062           7062        129.537        130.000        3.76554
           7063           7063        129.533        130.000        3.76553
           7064           7064        129.532        130.000         3.7655
           7065           7065        129.527        130.000        3.76547
           7066           7066        129.543        130.000        3.76543
           7067           7067        129.547        130.000        3.76537
           7068           7068        129.538        130.000        3.76526
           7069           7069        129.545        130.000        3.76514
           7070           7070        129.544        130.000        3.76501
           7071           7071        129.540        130.000        3.76485
           7072           7072        129.537        130.000        3.76461
           7073           7073        129.538        130.000         3.7644
           7074           7074        129.541        130.000        3.76421
           7075           7075        129.541        130.000        3.76404
           7076           7076        129.550        130.000        3.76393
           7077           7077        129.539        130.000        3.76388
           7078           7078        129.543        130.000        3.76391
           7079           7079        129.542        130.000        3.76399
           7080           7080        129.545        130.000        3.76431
           7081           7081        129.548        130.000        3.76455
           7082           7082        129.539        130.000        3.76479
           7083           7083        129.538        130.000        3.76502
           7084           7084        129.538        130.000         3.7653
           7085           7085        129.539        130.000         3.7655
           7086           7086        129.539        130.000        3.76564
           7087           7087        129.542        130.000        3.76573
           7088           7088        129.549        130.000         3.7658
           7089           7089        129.547        130.000        3.76569
           7090           7090        129.544        130.000        3.76565
           7091           7091        129.543        130.000        3.76561
           7092           7092        129.545        130.000        3.76557
           7093           7093        129.551        130.000        3.76552
           7094           7094        129.542        130.000        3.76549
           7095           7095        129.549        130.000        3.76547
           7096           7096        129.549        130.000        3.76546
           7097           7097        129.538        130.000        3.76548
           7098           7098        129.531        130.000        3.76548
           7099           7099        129.536        130.000        3.76545
           7100           7100        129.528        130.000        3.76543
           7101           7101        129.531        130.000        3.76538
           7102           7102        129.529        130.000        3.76534
           7103           7103        129.538        130.000        3.76531
           7104           7104        129.539        130.000        3.76528
           7105           7105        129.536        130.000        3.76525
           7106           7106        129.542        130.000        3.76524
           7107           7107        129.542        130.000        3.76523
           7108           7108        129.547        130.000        3.76523
           7109           7109        129.542        130.000        3.76525
           7110           7110        129.541        130.000        3.76526
           7111           7111        129.550        130.000        3.76527
           7112           7112        129.546        130.000        3.76527
           7113           7113        129.538        130.000        3.76528
           7114           7114        129.546        130.000        3.76528
           7115           7115        129.542        130.000        3.76528
           7116           7116        129.547        130.000        3.76527
           7117           7117        129.548        130.000        3.76525
           7118           7118        129.545        130.000        3.76524
           7119           7119        129.544        130.000        3.76524
           7120           7120        129.543        130.000        3.76523
           7121           7121        129.548        130.000        3.76524
           7122           7122        129.549        130.000        3.76524
           7123           7123        129.542        130.000        3.76525
           7124           7124        129.541        130.000        3.76526
           7125           7125        129.542        130.000        3.76526
           7126           7126        129.542        130.000        3.76525
           7127           7127        129.547        130.000        3.76522
           7128           7128        129.536        130.000        3.76518
           7129           7129        129.543        130.000        3.76511
           7130           7130        129.544        130.000        3.76505
           7131           7131        129.549        130.000        3.76499
           7132           7132        129.547        130.000        3.76494
           7133           7133        129.544        130.000         3.7649
           7134           7134        129.542        130.000        3.76487
           7135           7135        129.545        130.000        3.76485
           7136           7136        129.542        130.000        3.76484
           7137           7137        129.536        130.000        3.76487
           7138           7138        129.544        130.000        3.76488
           7139           7139        129.544        130.000         3.7649
           7140           7140        129.544        130.000        3.76492
           7141           7141        129.546        130.000        3.76496
           7142           7142        129.540        130.000        3.76499
           7143           7143        129.539        130.000        3.76503
           7144           7144        129.535        130.000        3.76506
           7145           7145        129.550        130.000        3.76509
           7146           7146        129.542        130.000         3.7651
           7147           7147        129.537        130.000        3.76508
           7148           7148        129.536        130.000        3.76505
           7149           7149        129.544        130.000        3.76495
           7150           7150        129.550        130.000        3.76484
           7151           7151        129.553        130.000        3.76471
           7152           7152        129.545        130.000        3.76455
           7153           7153        129.549        130.000        3.76429
           7154           7154        129.543        130.000        3.76405
           7155           7155        129.538        130.000        3.76382
           7156           7156        129.541        130.000        3.76359
           7157           7157        129.546        130.000        3.76336
           7158           7158        129.539        130.000        3.76319
           7159           7159        129.538        130.000        3.76308
           7160           7160        129.540        130.000        3.76301
           7161           7161        129.542        130.000        3.76312
           7162           7162        129.546        130.000         3.7632
           7163           7163        129.545        130.000        3.76331
           7164           7164        129.540        130.000        3.76344
           7165           7165        129.548        130.000        3.76374
           7166           7166        129.547        130.000        3.76398
           7167           7167        129.538        130.000        3.76425
           7168           7168        129.543        130.000        3.76453
           7169           7169        129.546        130.000        3.76487
           7170           7170        129.548        130.000        3.76519
           7171           7171        129.544        130.000        3.76547
           7172           7172        129.546        130.000        3.76573
           7173           7173        129.545        130.000        3.76593
           7174           7174        129.545        130.000        3.76607
           7175           7175        129.544        130.000        3.76617
           7176           7176        129.539        130.000        3.76622
           7177           7177        129.550        130.000        3.76608
           7178           7178        129.546        130.000        3.76601
           7179           7179        129.541        130.000        3.76593
           7180           7180        129.537        130.000        3.76585
           7181           7181        129.533        130.000         3.7657
           7182           7182        129.534        130.000        3.76559
           7183           7183        129.534        130.000        3.76549
           7184           7184        129.542        130.000         3.7654
           7185           7185        129.537        130.000        3.76533
           7186           7186        129.541        130.000        3.76527
           7187           7187        129.545        130.000        3.76521
           7188           7188        129.544        130.000        3.76516
           7189           7189        129.527        130.000        3.76515
           7190           7190        129.542        130.000        3.76513
           7191           7191        129.543        130.000        3.76511
           7192           7192        129.542        130.000         3.7651
           7193           7193        129.531        130.000        3.76512
           7194           7194        129.537        130.000        3.76514
           7195           7195        129.536        130.000        3.76515
           7196           7196        129.537        130.000        3.76517
           7197           7197        129.542        130.000        3.76519
           7198           7198        129.537        130.000        3.76518
           7199           7199        129.542        130.000        3.76517
           7200           7200        129.538        130.000        3.76515
           7201           7201        129.535        130.000         3.7651
           7202           7202        129.540        130.000        3.76506
           7203           7203        129.539        130.000        3.76502
           7204           7204        129.541        130.000        3.76498
           7205           7205        129.551        130.000        3.76493
           7206           7206        129.542        130.000        3.76491
           7207           7207        129.543        130.000        3.76489
           7208           7208        129.539        130.000        3.76487
           7209           7209        129.533        130.000        3.76488
           7210           7210        129.540        130.000        3.76488
           7211           7211        129.545        130.000        3.76486
           7212           7212        129.536        130.000        3.76484
           7213           7213        129.534        130.000         3.7648
           7214           7214        129.540        130.000        3.76476
           7215           7215        129.535        130.000        3.76471
           7216           7216        129.540        130.000        3.76467
           7217           7217        129.532        130.000        3.76461
           7218           7218        129.543        130.000        3.76459
           7219           7219        129.543        130.000        3.76457
           7220           7220        129.546        130.000        3.76456
           7221           7221        129.540        130.000         3.7646
           7222           7222        129.541        130.000        3.76462
           7223           7223        129.540        130.000        3.76464
           7224           7224        129.544        130.000        3.76466
           7225           7225        129.542        130.000        3.76469
           7226           7226        129.534        130.000        3.76471
           7227           7227        129.537        130.000        3.76473
           7228           7228        129.546        130.000        3.76475
           7229           7229        129.539        130.000        3.76476
           7230           7230        129.539        130.000        3.76477
           7231           7231        129.540        130.000        3.76478
           7232           7232        129.544        130.000        3.76479
           7233           7233        129.544        130.000         3.7648
           7234           7234        129.549        130.000         3.7648
           7235           7235        129.539        130.000         3.7648
           7236           7236        129.539        130.000        3.76479
           7237           7237        129.539        130.000        3.76478
           7238           7238        129.540        130.000        3.76477
           7239           7239        129.537        130.000        3.76476
           7240           7240        129.540        130.000        3.76474
           7241           7241        129.537        130.000        3.76473
           7242           7242        129.539        130.000        3.76471
           7243           7243        129.536        130.000         3.7647
           7244           7244        129.542        130.000        3.76469
           7245           7245        129.540        130.000        3.76468
           7246           7246        129.534        130.000        3.76468
           7247           7247        129.542        130.000        3.76467
           7248           7248        129.535        130.000        3.76467
           7249           7249        129.534        130.000        3.76467
           7250           7250        129.531        130.000        3.76467
           7251           7251        129.533        130.000        3.76466
           7252           7252        129.538        130.000        3.76466
           7253           7253        129.545        130.000        3.76464
           7254           7254        129.538        130.000        3.76463
           7255           7255        129.536        130.000        3.76462
           7256           7256        129.529        130.000        3.76462
           7257           7257        129.534        130.000        3.76463
           7258           7258        129.536        130.000        3.76465
           7259           7259        129.545        130.000        3.76467
           7260           7260        129.539        130.000         3.7647
           7261           7261        129.537        130.000        3.76476
           7262           7262        129.542        130.000         3.7648
           7263           7263        129.539        130.000        3.76484
           7264           7264        129.536        130.000        3.76486
           7265           7265        129.537        130.000        3.76487
           7266           7266        129.531        130.000        3.76488
           7267           7267        129.538        130.000        3.76489
           7268           7268        129.540        130.000        3.76489
           7269           7269        129.538        130.000        3.76486
           7270           7270        129.536        130.000        3.76485
           7271           7271        129.533        130.000        3.76485
           7272           7272        129.536        130.000        3.76484
           7273           7273        129.540        130.000        3.76483
           7274           7274        129.533        130.000        3.76481
           7275           7275        129.533        130.000        3.76479
           7276           7276        129.526        130.000        3.76476
           7277           7277        129.533        130.000        3.76471
           7278           7278        129.531        130.000        3.76465
           7279           7279        129.537        130.000        3.76459
           7280           7280        129.530        130.000        3.76453
           7281           7281        129.542        130.000        3.76445
           7282           7282        129.539        130.000        3.76439
           7283           7283        129.532        130.000        3.76434
           7284           7284        129.526        130.000        3.76431
           7285           7285        129.531        130.000        3.76432
           7286           7286        129.534        130.000        3.76434
           7287           7287        129.539        130.000        3.76436
           7288           7288        129.534        130.000        3.76439
           7289           7289        129.534        130.000        3.76446
           7290           7290        129.524        130.000         3.7645
           7291           7291        129.529        130.000        3.76452
           7292           7292        129.537        130.000        3.76453
           7293           7293        129.538        130.000        3.76448
           7294           7294        129.532        130.000        3.76445
           7295           7295        129.535        130.000        3.76442
           7296           7296        129.536        130.000        3.76438
           7297           7297        129.530        130.000        3.76432
           7298           7298        129.529        130.000         3.7643
           7299           7299        129.537        130.000        3.76431
           7300           7300        129.534        130.000        3.76432
           7301           7301        129.533        130.000        3.76438
           7302           7302        129.537        130.000        3.76442
           7303           7303        129.533        130.000        3.76445
           7304           7304        129.536        130.000        3.76449
           7305           7305        129.540        130.000        3.76452
           7306           7306        129.531        130.000        3.76454
           7307           7307        129.529        130.000        3.76455
           7308           7308        129.529        130.000        3.76456
           7309           7309        129.536        130.000        3.76454
           7310           7310        129.533        130.000        3.76453
           7311           7311        129.533        130.000        3.76451
           7312           7312        129.536        130.000        3.76447
           7313           7313        129.534        130.000        3.76441
           7314           7314        129.536        130.000        3.76435
           7315           7315        129.538        130.000         3.7643
           7316           7316        129.534        130.000        3.76425
           7317           7317        129.528        130.000        3.76421
           7318           7318        129.529        130.000        3.76418
           7319           7319        129.531        130.000        3.76417
           7320           7320        129.528        130.000        3.76417
           7321           7321        129.531        130.000        3.76421
           7322           7322        129.531        130.000        3.76423
           7323           7323        129.532        130.000        3.76425
           7324           7324        129.532        130.000        3.76426
           7325           7325        129.527        130.000        3.76427
           7326           7326        129.529        130.000        3.76428
           7327           7327        129.538        130.000        3.76429
           7328           7328        129.533        130.000        3.76429
           7329           7329        129.538        130.000         3.7643
           7330           7330        129.538        130.000        3.76431
           7331           7331        129.531        130.000        3.76434
           7332           7332        129.530        130.000        3.76436
           7333           7333        129.526        130.000         3.7644
           7334           7334        129.539        130.000        3.76443
           7335           7335        129.536        130.000        3.76445
           7336           7336        129.530        130.000        3.76446
           7337           7337        129.526        130.000        3.76445
           7338           7338        129.527        130.000        3.76444
           7339           7339        129.530        130.000        3.76442
           7340           7340        129.527        130.000         3.7644
           7341           7341        129.531        130.000        3.76436
           7342           7342        129.530        130.000        3.76432
           7343           7343        129.529        130.000         3.7643
           7344           7344        129.527        130.000        3.76427
           7345           7345        129.524        130.000        3.76425
           7346           7346        129.528        130.000        3.76423
           7347           7347        129.526        130.000        3.76422
           7348           7348        129.531        130.000        3.76421
           7349           7349        129.535        130.000        3.76422
           7350           7350        129.534        130.000        3.76421
           7351           7351        129.536        130.000        3.76421
           7352           7352        129.533        130.000        3.76421
           7353           7353        129.526        130.000        3.76423
           7354           7354        129.531        130.000        3.76426
           7355           7355        129.525        130.000         3.7643
           7356           7356        129.536        130.000        3.76435
           7357           7357        129.537        130.000        3.76442
           7358           7358        129.531        130.000        3.76448
           7359           7359        129.526        130.000        3.76451
           7360           7360        129.531        130.000        3.76454
           7361           7361        129.534        130.000        3.76451
           7362           7362        129.531        130.000        3.76448
           7363           7363        129.539        130.000        3.76445
           7364           7364        129.533        130.000         3.7644
           7365           7365        129.532        130.000         3.7643
           7366           7366        129.537        130.000        3.76423
           7367           7367        129.528        130.000        3.76419
           7368           7368        129.521        130.000        3.76415
           7369           7369        129.531        130.000        3.76414
           7370           7370        129.531        130.000        3.76412
           7371           7371        129.532        130.000        3.76411
           7372           7372        129.534        130.000        3.76412
           7373           7373        129.536        130.000        3.76416
           7374           7374        129.530        130.000        3.76419
           7375           7375        129.530        130.000        3.76423
           7376           7376        129.535        130.000        3.76426
           7377           7377        129.524        130.000        3.76432
           7378           7378        129.523        130.000        3.76435
           7379           7379        129.524        130.000        3.76438
           7380           7380        129.531        130.000        3.76439
           7381           7381        129.524        130.000        3.76439
           7382           7382        129.526        130.000        3.76438
           7383           7383        129.530        130.000        3.76437
           7384           7384        129.524        130.000        3.76435
           7385           7385        129.533        130.000        3.76432
           7386           7386        129.536        130.000        3.76427
           7387           7387        129.540        130.000        3.76424
           7388           7388        129.525        130.000        3.76421
           7389           7389        129.522        130.000        3.76418
           7390           7390        129.524        130.000        3.76416
           7391           7391        129.534        130.000        3.76415
           7392           7392        129.539        130.000        3.76416
           7393           7393        129.537        130.000        3.76417
           7394           7394        129.531        130.000        3.76421
           7395           7395        129.531        130.000        3.76424
           7396           7396        129.533        130.000        3.76426
           7397           7397        129.530        130.000        3.76427
           7398           7398        129.528        130.000        3.76426
           7399           7399        129.531        130.000        3.76424
           7400           7400        129.533        130.000        3.76421
           7401           7401        129.534        130.000        3.76418
           7402           7402        129.531        130.000        3.76412
           7403           7403        129.531        130.000        3.76408
           7404           7404        129.538        130.000        3.76406
           7405           7405        129.535        130.000        3.76403
           7406           7406        129.532        130.000        3.76404
           7407           7407        129.533        130.000        3.76404
           7408           7408        129.533        130.000        3.76404
           7409           7409        129.537        130.000        3.76403
           7410           7410        129.536        130.000        3.76403
           7411           7411        129.539        130.000        3.76403
           7412           7412        129.545        130.000        3.76403
           7413           7413        129.529        130.000        3.76404
           7414           7414        129.537        130.000        3.76406
           7415           7415        129.539        130.000        3.76407
           7416           7416        129.533        130.000        3.76407
           7417           7417        129.541        130.000        3.76405
           7418           7418        129.538        130.000        3.76398
           7419           7419        129.532        130.000        3.76387
           7420           7420        129.539        130.000        3.76372
           7421           7421        129.532        130.000        3.76354
           7422           7422        129.531        130.000        3.76325
           7423           7423        129.533        130.000        3.76304
           7424           7424        129.532        130.000        3.76289
           7425           7425        129.534        130.000        3.76279
           7426           7426        129.522        130.000        3.76284
           7427           7427        129.522        130.000        3.76292
           7428           7428        129.529        130.000        3.76306
           7429           7429        129.534        130.000        3.76322
           7430           7430        129.524        130.000        3.76361
           7431           7431        129.527        130.000        3.76386
           7432           7432        129.534        130.000        3.76408
           7433           7433        129.539        130.000        3.76428
           7434           7434        129.533        130.000         3.7644
           7435           7435        129.531        130.000        3.76451
           7436           7436        129.529        130.000         3.7646
           7437           7437        129.535        130.000        3.76467
           7438           7438        129.544        130.000        3.76472
           7439           7439        129.539        130.000        3.76466
           7440           7440        129.537        130.000        3.76464
           7441           7441        129.537        130.000         3.7646
           7442           7442        129.535        130.000        3.76455
           7443           7443        129.534        130.000        3.76443
           7444           7444        129.534        130.000        3.76432
           7445           7445        129.532        130.000        3.76421
           7446           7446        129.528        130.000         3.7641
           7447           7447        129.527        130.000        3.76396
           7448           7448        129.530        130.000        3.76386
           7449           7449        129.525        130.000        3.76377
           7450           7450        129.522        130.000        3.76371
           7451           7451        129.531        130.000        3.76371
           7452           7452        129.532        130.000        3.76371
           7453           7453        129.537        130.000        3.76372
           7454           7454        129.528        130.000        3.76374
           7455           7455        129.526        130.000        3.76381
           7456           7456        129.529        130.000        3.76385
           7457           7457        129.529        130.000        3.76389
           7458           7458        129.529        130.000        3.76391
           7459           7459        129.529        130.000        3.76391
           7460           7460        129.535        130.000         3.7639
           7461           7461        129.527        130.000        3.76389
           7462           7462        129.535        130.000        3.76388
           7463           7463        129.527        130.000        3.76387
           7464           7464        129.533        130.000        3.76384
           7465           7465        129.530        130.000        3.76383
           7466           7466        129.524        130.000        3.76384
           7467           7467        129.530        130.000        3.76385
           7468           7468        129.527        130.000         3.7639
           7469           7469        129.520        130.000        3.76395
           7470           7470        129.528        130.000        3.76399
           7471           7471        129.526        130.000        3.76403
           7472           7472        129.525        130.000        3.76407
           7473           7473        129.526        130.000        3.76407
           7474           7474        129.529        130.000        3.76406
           7475           7475        129.530        130.000        3.76404
           7476           7476        129.526        130.000        3.76396
           7477           7477        129.533        130.000        3.76391
           7478           7478        129.535        130.000        3.76387
           7479           7479        129.534        130.000        3.76382
           7480           7480        129.535        130.000        3.76379
           7481           7481        129.535        130.000        3.76377
           7482           7482        129.534        130.000        3.76375
           7483           7483        129.529        130.000        3.76374
           7484           7484        129.533        130.000        3.76377
           7485           7485        129.529        130.000        3.76378
           7486           7486        129.529        130.000        3.76378
           7487           7487        129.522        130.000        3.76378
           7488           7488        129.531        130.000        3.76377
           7489           7489        129.526        130.000        3.76377
           7490           7490        129.529        130.000        3.76377
           7491           7491        129.527        130.000        3.76378
           7492           7492        129.521        130.000        3.76378
           7493           7493        129.518        130.000         3.7638
           7494           7494        129.526        130.000        3.76383
           7495           7495        129.532        130.000        3.76386
           7496           7496        129.532        130.000         3.7639
           7497           7497        129.532        130.000        3.76392
           7498           7498        129.524        130.000        3.76395
           7499           7499        129.521        130.000        3.76397
           7500           7500        129.525        130.000        3.76399
           7501           7501        129.531        130.000          3.764
           7502           7502        129.530        130.000          3.764
           7503           7503        129.529        130.000          3.764
           7504           7504        129.537        130.000        3.76397
           7505           7505        129.522        130.000        3.76393
           7506           7506        129.523        130.000        3.76388
           7507           7507        129.526        130.000        3.76382
           7508           7508        129.523        130.000        3.76371
           7509           7509        129.524        130.000        3.76362
           7510           7510        129.519        130.000        3.76354
           7511           7511        129.523        130.000        3.76347
           7512           7512        129.519        130.000        3.76341
           7513           7513        129.534        130.000        3.76336
           7514           7514        129.524        130.000        3.76333
           7515           7515        129.531        130.000        3.76332
           7516           7516        129.526        130.000        3.76336
           7517           7517        129.537        130.000        3.76339
           7518           7518        129.530        130.000        3.76343
           7519           7519        129.528        130.000        3.76347
           7520           7520        129.518        130.000        3.76353
           7521           7521        129.530        130.000        3.76358
           7522           7522        129.526        130.000        3.76361
           7523           7523        129.522        130.000        3.76365
           7524           7524        129.514        130.000        3.76365
           7525           7525        129.517        130.000        3.76365
           7526           7526        129.517        130.000        3.76363
           7527           7527        129.525        130.000        3.76361
           7528           7528        129.513        130.000        3.76355
           7529           7529        129.520        130.000        3.76351
           7530           7530        129.523        130.000        3.76348
           7531           7531        129.518        130.000        3.76345
           7532           7532        129.520        130.000        3.76345
           7533           7533        129.527        130.000        3.76345
           7534           7534        129.518        130.000        3.76346
           7535           7535        129.521        130.000        3.76349
           7536           7536        129.523        130.000        3.76356
           7537           7537        129.522        130.000         3.7636
           7538           7538        129.520        130.000        3.76364
           7539           7539        129.518        130.000        3.76367
           7540           7540        129.527        130.000         3.7637
           7541           7541        129.526        130.000        3.76372
           7542           7542        129.521        130.000        3.76373
           7543           7543        129.523        130.000        3.76374
           7544           7544        129.523        130.000        3.76371
           7545           7545        129.524        130.000        3.76369
           7546           7546        129.520        130.000        3.76367
           7547           7547        129.518        130.000        3.76363
           7548           7548        129.529        130.000        3.76357
           7549           7549        129.525        130.000        3.76351
           7550           7550        129.533        130.000        3.76346
           7551           7551        129.527        130.000        3.76341
           7552           7552        129.529        130.000        3.76336
           7553           7553        129.521        130.000        3.76333
           7554           7554        129.518        130.000         3.7633
           7555           7555        129.522        130.000        3.76327
