Title                                                           02.11.2020 09:39
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  ^&164-Gd
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            149            149         25.798         27.483        4.28892
            150            150         25.804         27.500        4.28866
            151            151         25.826         27.517         4.2884
            152            152         25.846         27.533        4.28814
            153            153         25.867         27.550        4.28788
            154            154         25.885         27.567        4.28761
            155            155         25.888         27.583        4.28734
            156            156         25.898         27.600        4.28706
            157            157         25.939         27.617        4.28677
            158            158         25.964         27.633        4.28649
            159            159         25.971         27.650        4.28621
            160            160         25.992         27.667        4.28594
            161            161         26.005         27.683        4.28568
            162            162         26.033         27.700        4.28542
            163            163         26.053         27.717        4.28516
            164            164         26.074         27.733         4.2849
            165            165         26.090         27.750        4.28463
            166            166         26.104         27.767        4.28436
            167            167         26.120         27.783        4.28409
            168            168         26.139         27.800        4.28382
            169            169         26.155         27.817        4.28354
            170            170         26.177         27.833        4.28327
            171            171         26.199         27.850          4.283
            172            172         26.204         27.867        4.28273
            173            173         26.224         27.883        4.28247
            174            174         26.239         27.900         4.2822
            175            175         26.265         27.917        4.28193
            176            176         26.281         27.933        4.28166
            177            177         26.298         27.950         4.2814
            178            178         26.319         27.967        4.28115
            179            179         26.328         27.983         4.2809
            180            180         26.347         28.000        4.28066
            181            181         26.370         28.017        4.28046
            182            182         26.385         28.033        4.28023
            183            183         26.393         28.050        4.28001
            184            184         26.401         28.067        4.27978
            185            185         26.420         28.083        4.27956
            186            186         26.438         28.100        4.27933
            187            187         26.458         28.117         4.2791
            188            188         26.474         28.133        4.27886
            189            189         26.493         28.150         4.2786
            190            190         26.512         28.167        4.27833
            191            191         26.533         28.183        4.27806
            192            192         26.539         28.200        4.27779
            193            193         26.560         28.217         4.2775
            194            194         26.576         28.233        4.27724
            195            195         26.595         28.250          4.277
            196            196         26.608         28.267        4.27676
            197            197         26.627         28.283        4.27657
            198            198         26.648         28.300        4.27636
            199            199         26.662         28.317        4.27615
            200            200         26.682         28.333        4.27594
            201            201         26.697         28.350        4.27572
            202            202         26.717         28.367        4.27549
            203            203         26.732         28.383        4.27525
            204            204         26.739         28.400          4.275
            205            205         26.760         28.417        4.27474
            206            206         26.775         28.433        4.27444
            207            207         26.794         28.450        4.27416
            208            208         26.817         28.467        4.27388
            209            209         26.828         28.483         4.2736
            210            210         26.848         28.500        4.27332
            211            211         26.868         28.517        4.27305
            212            212         26.883         28.533        4.27279
            213            213         26.898         28.550        4.27253
            214            214         26.912         28.567        4.27229
            215            215         26.926         28.583        4.27205
            216            216         26.950         28.600        4.27181
            217            217         26.978         28.617        4.27158
            218            218         26.981         28.633        4.27135
            219            219         27.002         28.650        4.27111
            220            220         27.016         28.667        4.27087
            221            221         27.037         28.683        4.27062
            222            222         27.051         28.700        4.27037
            223            223         27.066         28.717        4.27013
            224            224         27.076         28.733         4.2699
            225            225         27.096         28.750        4.26966
            226            226         27.124         28.767        4.26943
            227            227         27.135         28.783         4.2692
            228            228         27.154         28.800        4.26895
            229            229         27.175         28.817        4.26869
            230            230         27.183         28.833        4.26842
            231            231         27.212         28.850        4.26815
            232            232         27.233         28.867        4.26788
            233            233         27.243         28.883        4.26761
            234            234         27.256         28.900        4.26734
            235            235         27.276         28.917        4.26708
            236            236         27.284         28.933        4.26683
            237            237         27.309         28.950        4.26659
            238            238         27.322         28.967        4.26641
            239            239         27.334         28.983        4.26621
            240            240         27.340         29.000        4.26602
            241            241         27.376         29.017        4.26582
            242            242         27.394         29.033        4.26564
            243            243         27.412         29.050        4.26542
            244            244         27.417         29.067        4.26519
            245            245         27.452         29.083        4.26494
            246            246         27.460         29.100        4.26463
            247            247         27.477         29.117        4.26434
            248            248         27.494         29.133        4.26406
            249            249         27.510         29.150        4.26377
            250            250         27.537         29.167        4.26347
            251            251         27.532         29.183        4.26319
            252            252         27.559         29.200        4.26292
            253            253         27.574         29.217        4.26264
            254            254         27.590         29.233        4.26237
            255            255         27.609         29.250        4.26214
            256            256         27.631         29.267         4.2619
            257            257         27.642         29.283        4.26166
            258            258         27.652         29.300        4.26142
            259            259         27.673         29.317        4.26119
            260            260         27.692         29.333        4.26096
            261            261         27.717         29.350        4.26073
            262            262         27.737         29.367         4.2605
            263            263         27.750         29.383        4.26029
            264            264         27.757         29.400        4.26009
            265            265         27.783         29.417         4.2599
            266            266         27.797         29.433        4.25972
            267            267         27.820         29.450        4.25956
            268            268         27.828         29.467        4.25938
            269            269         27.847         29.483        4.25918
            270            270         27.870         29.500        4.25898
            271            271         27.890         29.517        4.25874
            272            272         27.901         29.533        4.25851
            273            273         27.911         29.550        4.25826
            274            274         27.931         29.567          4.258
            275            275         27.947         29.583         4.2577
            276            276         27.962         29.600        4.25741
            277            277         27.985         29.617        4.25712
            278            278         27.992         29.633        4.25683
            279            279         28.013         29.650        4.25654
            280            280         28.039         29.667        4.25625
            281            281         28.048         29.683        4.25598
            282            282         28.062         29.700        4.25572
            283            283         28.082         29.717        4.25546
            284            284         28.102         29.733        4.25523
            285            285         28.117         29.750        4.25499
            286            286         28.136         29.767        4.25475
            287            287         28.156         29.783        4.25451
            288            288         28.165         29.800        4.25429
            289            289         28.181         29.817        4.25406
            290            290         28.199         29.833        4.25384
            291            291         28.216         29.850        4.25362
            292            292         28.233         29.867        4.25341
            293            293         28.254         29.883         4.2532
            294            294         28.266         29.900        4.25299
            295            295         28.294         29.917        4.25278
            296            296         28.309         29.933        4.25258
            297            297         28.333         29.950        4.25239
            298            298         28.340         29.967        4.25219
            299            299         28.365         29.983        4.25199
            300            300         28.373         30.000         4.2518
            301            301         28.377         30.017         4.2516
            302            302         28.385         30.033        4.25138
            303            303         28.413         30.050        4.25116
            304            304         28.433         30.067        4.25089
            305            305         28.451         30.083        4.25063
            306            306         28.468         30.100        4.25036
            307            307         28.491         30.117         4.2501
            308            308         28.503         30.133         4.2498
            309            309         28.519         30.150        4.24954
            310            310         28.539         30.167        4.24928
            311            311         28.562         30.183        4.24903
            312            312         28.575         30.200         4.2488
            313            313         28.592         30.217        4.24856
            314            314         28.599         30.233        4.24831
            315            315         28.624         30.250        4.24806
            316            316         28.640         30.267         4.2478
            317            317         28.653         30.283        4.24754
            318            318         28.687         30.300        4.24729
            319            319         28.696         30.317        4.24705
            320            320         28.701         30.333        4.24683
            321            321         28.728         30.350        4.24661
            322            322         28.752         30.367         4.2464
            323            323         28.767         30.383        4.24619
            324            324         28.771         30.400        4.24601
            325            325         28.783         30.417        4.24581
            326            326         28.803         30.433        4.24561
            327            327         28.834         30.450        4.24539
            328            328         28.849         30.467        4.24517
            329            329         28.853         30.483        4.24494
            330            330         28.877         30.500        4.24471
            331            331         28.889         30.517        4.24448
            332            332         28.911         30.533        4.24422
            333            333         28.922         30.550        4.24397
            334            334         28.948         30.567        4.24372
            335            335         28.966         30.583        4.24346
            336            336         28.969         30.600        4.24319
            337            337         28.999         30.617        4.24293
            338            338         29.008         30.633        4.24267
            339            339         29.029         30.650        4.24241
            340            340         29.045         30.667        4.24215
            341            341         29.053         30.683        4.24189
            342            342         29.068         30.700        4.24163
            343            343         29.093         30.717        4.24138
            344            344         29.119         30.733        4.24114
            345            345         29.123         30.750        4.24089
            346            346         29.141         30.767        4.24064
            347            347         29.154         30.783         4.2404
            348            348         29.167         30.800        4.24017
            349            349         29.181         30.817        4.23993
            350            350         29.209         30.833        4.23971
            351            351         29.218         30.850        4.23948
            352            352         29.236         30.867        4.23927
            353            353         29.261         30.883        4.23905
            354            354         29.284         30.900        4.23884
            355            355         29.283         30.917        4.23862
            356            356         29.307         30.933         4.2384
            357            357         29.324         30.950        4.23818
            358            358         29.336         30.967        4.23796
            359            359         29.360         30.983        4.23775
            360            360         29.384         31.000        4.23755
            361            361         29.401         31.017        4.23736
            362            362         29.424         31.033        4.23717
            363            363         29.435         31.050        4.23698
            364            364         29.453         31.067        4.23679
            365            365         29.471         31.083        4.23661
            366            366         29.479         31.100        4.23642
            367            367         29.491         31.117        4.23621
            368            368         29.517         31.133          4.236
            369            369         29.540         31.150        4.23575
            370            370         29.552         31.167        4.23552
            371            371         29.568         31.183        4.23528
            372            372         29.590         31.200        4.23503
            373            373         29.612         31.217        4.23476
            374            374         29.620         31.233         4.2345
            375            375         29.632         31.250        4.23422
            376            376         29.646         31.267        4.23394
            377            377         29.674         31.283        4.23365
            378            378         29.698         31.300        4.23337
            379            379         29.703         31.317        4.23309
            380            380         29.718         31.333        4.23282
            381            381         29.738         31.350        4.23257
            382            382         29.759         31.367        4.23233
            383            383         29.771         31.383        4.23209
            384            384         29.788         31.400        4.23185
            385            385         29.799         31.417        4.23165
            386            386         29.814         31.433        4.23144
            387            387         29.824         31.450        4.23122
            388            388         29.847         31.467          4.231
            389            389         29.859         31.483        4.23079
            390            390         29.888         31.500        4.23058
            391            391         29.905         31.517        4.23036
            392            392         29.905         31.533        4.23015
            393            393         29.934         31.550        4.22994
            394            394         29.948         31.567        4.22974
            395            395         29.975         31.583        4.22954
            396            396         29.993         31.600        4.22934
            397            397         29.998         31.617        4.22916
            398            398         30.008         31.633        4.22898
            399            399         30.028         31.650        4.22879
            400            400         30.064         31.667        4.22859
            401            401         30.078         31.683        4.22837
            402            402         30.095         31.700        4.22815
            403            403         30.104         31.717        4.22791
            404            404         30.129         31.733        4.22767
            405            405         30.148         31.750        4.22739
            406            406         30.166         31.767        4.22713
            407            407         30.180         31.783        4.22687
            408            408         30.202         31.800        4.22661
            409            409         30.215         31.817        4.22634
            410            410         30.233         31.833        4.22606
            411            411         30.238         31.850        4.22578
            412            412         30.270         31.867        4.22549
            413            413         30.276         31.883        4.22521
            414            414         30.295         31.900        4.22492
            415            415         30.304         31.917        4.22465
            416            416         30.329         31.933         4.2244
            417            417         30.345         31.950        4.22416
            418            418         30.361         31.967        4.22396
            419            419         30.373         31.983        4.22375
            420            420         30.387         32.000        4.22354
            421            421         30.413         32.017        4.22334
            422            422         30.434         32.033        4.22315
            423            423         30.452         32.050        4.22294
            424            424         30.455         32.067        4.22272
            425            425         30.481         32.083        4.22249
            426            426         30.505         32.100        4.22223
            427            427         30.517         32.117        4.22198
            428            428         30.527         32.133        4.22173
            429            429         30.547         32.150        4.22148
            430            430         30.563         32.167        4.22122
            431            431         30.575         32.183        4.22097
            432            432         30.596         32.200        4.22074
            433            433         30.611         32.217        4.22052
            434            434         30.626         32.233        4.22034
            435            435         30.642         32.250        4.22015
            436            436         30.649         32.267        4.21997
            437            437         30.663         32.283        4.21978
            438            438         30.689         32.300        4.21962
            439            439         30.701         32.317        4.21942
            440            440         30.723         32.333        4.21921
            441            441         30.752         32.350        4.21899
            442            442         30.762         32.367        4.21871
            443            443         30.788         32.383        4.21844
            444            444         30.805         32.400        4.21816
            445            445         30.822         32.417        4.21786
            446            446         30.835         32.433        4.21752
            447            447         30.851         32.450         4.2172
            448            448         30.866         32.467        4.21689
            449            449         30.880         32.483        4.21659
            450            450         30.896         32.500        4.21632
            451            451         30.912         32.517        4.21607
            452            452         30.923         32.533        4.21584
            453            453         30.948         32.550        4.21562
            454            454         30.966         32.567        4.21547
            455            455         30.973         32.583         4.2153
            456            456         31.006         32.600        4.21513
            457            457         31.026         32.617        4.21497
            458            458         31.044         32.633        4.21481
            459            459         31.055         32.650        4.21463
            460            460         31.075         32.667        4.21445
            461            461         31.085         32.683        4.21425
            462            462         31.098         32.700        4.21402
            463            463         31.127         32.717        4.21379
            464            464         31.137         32.733        4.21356
            465            465         31.157         32.750        4.21331
            466            466         31.165         32.767        4.21304
            467            467         31.187         32.783        4.21279
            468            468         31.197         32.800        4.21254
            469            469         31.214         32.817         4.2123
            470            470         31.240         32.833        4.21205
            471            471         31.254         32.850        4.21181
            472            472         31.279         32.867        4.21156
            473            473         31.294         32.883        4.21132
            474            474         31.316         32.900        4.21108
            475            475         31.325         32.917        4.21084
            476            476         31.339         32.933        4.21061
            477            477         31.369         32.950        4.21037
            478            478         31.379         32.967        4.21014
            479            479         31.384         32.983        4.20991
            480            480         31.393         33.000        4.20969
            481            481         31.420         33.017        4.20948
            482            482         31.426         33.033        4.20928
            483            483         31.443         33.050        4.20907
            484            484         31.465         33.067        4.20886
            485            485         31.478         33.083        4.20865
            486            486         31.500         33.100        4.20844
            487            487         31.520         33.117        4.20822
            488            488         31.538         33.133        4.20801
            489            489         31.563         33.150        4.20779
            490            490         31.582         33.167        4.20755
            491            491         31.596         33.183        4.20731
            492            492         31.606         33.200        4.20707
            493            493         31.629         33.217        4.20682
            494            494         31.644         33.233        4.20654
            495            495         31.656         33.250        4.20627
            496            496         31.676         33.267        4.20599
            497            497         31.696         33.283        4.20572
            498            498         31.707         33.300        4.20543
            499            499         31.717         33.317        4.20516
            500            500         31.746         33.333         4.2049
            501            501         31.758         33.350        4.20465
            502            502         31.765         33.367        4.20443
            503            503         31.784         33.383        4.20421
            504            504         31.812         33.400        4.20401
            505            505         31.819         33.417        4.20383
            506            506         31.843         33.433        4.20369
            507            507         31.861         33.450        4.20354
            508            508         31.877         33.467         4.2034
            509            509         31.895         33.483        4.20325
            510            510         31.902         33.500        4.20312
            511            511         31.920         33.517        4.20297
            512            512         31.936         33.533         4.2028
            513            513         31.959         33.550        4.20262
            514            514         31.981         33.567         4.2024
            515            515         31.993         33.583        4.20218
            516            516         32.011         33.600        4.20196
            517            517         32.015         33.617        4.20173
            518            518         32.041         33.633        4.20147
            519            519         32.057         33.650        4.20122
            520            520         32.065         33.667        4.20098
            521            521         32.087         33.683        4.20073
            522            522         32.109         33.700        4.20049
            523            523         32.120         33.717        4.20025
            524            524         32.149         33.733        4.20001
            525            525         32.159         33.750        4.19978
            526            526         32.174         33.767        4.19954
            527            527         32.189         33.783        4.19931
            528            528         32.207         33.800        4.19907
            529            529         32.228         33.817        4.19883
            530            530         32.235         33.833        4.19859
            531            531         32.253         33.850        4.19835
            532            532         32.270         33.867        4.19811
            533            533         32.294         33.883        4.19787
            534            534         32.301         33.900        4.19762
            535            535         32.325         33.917        4.19738
            536            536         32.332         33.933        4.19713
            537            537         32.351         33.950        4.19687
            538            538         32.373         33.967        4.19662
            539            539         32.396         33.983        4.19635
            540            540         32.409         34.000        4.19609
            541            541         32.420         34.017        4.19584
            542            542         32.440         34.033        4.19558
            543            543         32.451         34.050        4.19534
            544            544         32.477         34.067         4.1951
            545            545         32.494         34.083        4.19487
            546            546         32.508         34.100        4.19464
            547            547         32.525         34.117        4.19443
            548            548         32.539         34.133        4.19422
            549            549         32.556         34.150          4.194
            550            550         32.586         34.167         4.1938
            551            551         32.593         34.183        4.19361
            552            552         32.611         34.200        4.19342
            553            553         32.628         34.217        4.19323
            554            554         32.642         34.233        4.19305
            555            555         32.660         34.250        4.19288
            556            556         32.672         34.267         4.1927
            557            557         32.686         34.283         4.1925
            558            558         32.710         34.300         4.1923
            559            559         32.727         34.317        4.19207
            560            560         32.749         34.333        4.19182
            561            561         32.756         34.350        4.19156
            562            562         32.768         34.367        4.19129
            563            563         32.794         34.383        4.19096
            564            564         32.805         34.400        4.19067
            565            565         32.828         34.417        4.19038
            566            566         32.844         34.433        4.19011
            567            567         32.861         34.450        4.18987
            568            568         32.866         34.467        4.18964
            569            569         32.891         34.483        4.18944
            570            570         32.904         34.500        4.18925
            571            571         32.923         34.517        4.18912
            572            572         32.931         34.533        4.18896
            573            573         32.949         34.550        4.18879
            574            574         32.974         34.567        4.18861
            575            575         32.993         34.583        4.18842
            576            576         33.017         34.600        4.18821
            577            577         33.028         34.617        4.18799
            578            578         33.042         34.633        4.18778
            579            579         33.056         34.650        4.18756
            580            580         33.073         34.667         4.1873
            581            581         33.096         34.683        4.18706
            582            582         33.110         34.700        4.18681
