       Field	   Intensity
        [mT]	         [ ]
      53.750	  7.2699e+02
      54.000	 -1.6184e+03
      54.250	 -3.4124e+03
      54.500	 -4.1073e+03
      54.750	 -3.8748e+03
      55.000	 -2.8999e+03
      55.250	 -1.6379e+03
      55.500	 -8.4845e+02
      55.750	 -9.5751e+02
      56.000	 -1.6409e+03
      56.250	 -2.1981e+03
      56.500	 -2.0781e+03
      56.750	 -1.0469e+03
      57.000	  3.1405e+02
      57.250	  5.4343e+02
      57.500	 -1.0006e+03
      57.750	 -2.7834e+03
      58.000	 -3.1988e+03
      58.250	 -2.9811e+03
      58.500	 -3.1534e+03
      58.750	 -2.7666e+03
      59.000	 -1.2738e+03
      59.250	  3.3305e+02
      59.500	  1.1885e+03
      59.750	  5.0655e+02
      60.000	 -1.2684e+03
      60.250	 -2.0958e+03
      60.500	 -1.3424e+03
      60.750	 -6.2601e+02
      61.000	 -1.0258e+03
      61.250	 -1.2049e+03
      61.500	 -2.9838e+02
      61.750	  4.2355e+02
      62.000	  9.5555e+01
      62.250	 -9.7138e+02
      62.500	 -1.8041e+03
      62.750	 -1.7909e+03
      63.000	 -2.0159e+03
      63.250	 -3.1864e+03
      63.500	 -4.0035e+03
      63.750	 -4.0147e+03
      64.000	 -4.2754e+03
      64.250	 -4.7262e+03
      64.500	 -4.5808e+03
      64.750	 -3.9076e+03
      65.000	 -3.1503e+03
      65.250	 -2.3433e+03
      65.500	 -1.4341e+03
      65.750	 -1.1448e+03
      66.000	 -1.8316e+03
      66.250	 -2.3902e+03
      66.500	 -2.4851e+03
      66.750	 -2.7849e+03
      67.000	 -2.8614e+03
      67.250	 -2.3419e+03
      67.500	 -1.9462e+03
      67.750	 -2.1736e+03
      68.000	 -2.6375e+03
      68.250	 -2.2796e+03
      68.500	 -1.1149e+03
      68.750	 -1.0287e+03
      69.000	 -2.8545e+03
      69.250	 -4.6558e+03
      69.500	 -4.3968e+03
      69.750	 -2.8719e+03
      70.000	 -2.3888e+03
      70.250	 -3.5204e+03
      70.500	 -4.6654e+03
      70.750	 -4.0488e+03
      71.000	 -2.1129e+03
      71.250	 -8.5995e+02
      71.500	 -6.4370e+02
      71.750	 -8.8238e+02
      72.000	 -2.0162e+03
      72.250	 -3.6793e+03
      72.500	 -4.0793e+03
      72.750	 -3.0309e+03
      73.000	 -2.4233e+03
      73.250	 -2.6008e+03
      73.500	 -2.4299e+03
      73.750	 -2.1428e+03
      74.000	 -1.7117e+03
      74.250	 -9.5700e+00
      74.500	  2.0265e+03
      74.750	  2.2487e+03
      75.000	  1.0804e+03
      75.250	  2.5649e+02
      75.500	 -3.0157e+02
      75.750	 -1.1449e+03
      76.000	 -1.3736e+03
      76.250	 -5.2432e+02
      76.500	 -6.5075e+00
      76.750	 -8.6463e+02
      77.000	 -2.0686e+03
      77.250	 -2.1432e+03
      77.500	 -1.1191e+03
      77.750	 -4.1782e+02
      78.000	 -1.0264e+03
      78.250	 -2.2411e+03
      78.500	 -2.9412e+03
      78.750	 -3.0184e+03
      79.000	 -2.7823e+03
      79.250	 -2.3228e+03
      79.500	 -2.2229e+03
      79.750	 -2.9343e+03
      80.000	 -3.6776e+03
      80.250	 -4.1413e+03
      80.500	 -4.4849e+03
      80.750	 -4.0286e+03
      81.000	 -2.8682e+03
      81.250	 -2.0154e+03
      81.500	 -1.6954e+03
      81.750	 -1.3002e+03
      82.000	 -4.4407e+02
      82.250	  7.2324e+02
      82.500	  2.0996e+03
      82.750	  2.7754e+03
      83.000	  1.4911e+03
      83.250	 -9.4913e+02
      83.500	 -2.5921e+03
      83.750	 -2.3871e+03
      84.000	 -8.4295e+02
      84.250	  5.0799e+02
      84.500	  1.1227e+03
      84.750	  1.2721e+03
      85.000	  6.2524e+02
      85.250	 -9.6676e+02
      85.500	 -2.6072e+03
      85.750	 -3.1381e+03
      86.000	 -2.2146e+03
      86.250	 -4.1251e+02
      86.500	  1.3841e+03
      86.750	  2.1452e+03
      87.000	  1.0214e+03
      87.250	 -9.4851e+02
      87.500	 -1.9480e+03
      87.750	 -2.3218e+03
      88.000	 -2.6838e+03
      88.250	 -1.9203e+03
      88.500	  3.2143e+02
      88.750	  2.1744e+03
      89.000	  2.1587e+03
      89.250	  1.1597e+03
      89.500	  2.6912e+02
      89.750	 -6.9020e+02
      90.000	 -1.6469e+03
      90.250	 -2.0256e+03
      90.500	 -1.6581e+03
      90.750	 -1.1528e+03
      91.000	 -1.1368e+03
      91.250	 -8.6720e+02
      91.500	 -2.1570e+01
      91.750	  4.9705e+02
      92.000	  7.1155e+02
      92.250	  5.7149e+02
      92.500	 -1.1507e+02
      92.750	 -3.9332e+02
      93.000	  2.6175e+00
      93.250	  2.8355e+02
      93.500	 -4.1633e+01
      93.750	 -9.6113e+02
      94.000	 -1.6774e+03
      94.250	 -1.0081e+03
      94.500	  4.7537e+02
      94.750	  8.3474e+02
      95.000	  1.8724e+02
      95.250	 -4.3863e+02
      95.500	 -1.5885e+03
      95.750	 -2.8543e+03
      96.000	 -2.5854e+03
      96.250	 -1.0987e+03
      96.500	  6.2430e+01
      96.750	  6.2818e+02
      97.000	  9.2680e+02
      97.250	  6.0543e+02
      97.500	 -9.4176e+02
      97.750	 -2.8221e+03
      98.000	 -2.7846e+03
      98.250	 -9.7801e+02
      98.500	  1.3668e+02
      98.750	  2.1880e+02
      99.000	  9.6568e+02
      99.250	  2.3530e+03
      99.500	  2.4642e+03
      99.750	  1.2754e+03
     100.000	  7.9818e+02
     100.250	  1.3844e+03
     100.500	  1.7486e+03
     100.750	  1.0428e+03
     101.000	 -5.7157e+02
     101.250	 -1.8053e+03
     101.500	 -1.6858e+03
     101.750	 -6.0495e+02
     102.000	  6.2662e+02
     102.250	  9.4912e+02
     102.500	 -1.6945e+02
     102.750	 -1.5534e+03
     103.000	 -1.7209e+03
     103.250	 -9.0582e+02
     103.500	 -4.4332e+02
     103.750	 -5.1713e+02
     104.000	 -3.9288e+02
     104.250	  6.8000e-01
     104.500	  2.1218e+02
     104.750	 -1.6070e+02
     105.000	 -9.3301e+02
     105.250	 -1.3509e+03
     105.500	 -1.1109e+03
     105.750	 -4.1238e+02
     106.000	  3.4843e+02
     106.250	  2.1355e+02
     106.500	 -1.3213e+03
     106.750	 -2.7681e+03
     107.000	 -2.1954e+03
     107.250	 -6.3851e+02
     107.500	 -5.8507e+02
     107.750	 -1.6002e+03
     108.000	 -1.8638e+03
     108.250	 -1.3828e+03
     108.500	 -8.5682e+02
     108.750	 -3.5982e+02
     109.000	  3.0492e+01
     109.250	  1.8024e+02
     109.500	  5.3587e+02
     109.750	  9.9774e+02
     110.000	  5.8255e+02
     110.250	 -3.1145e+02
     110.500	 -6.2620e+02
     110.750	 -5.9145e+02
     111.000	 -9.8120e+02
     111.250	 -2.0638e+03
     111.500	 -2.6528e+03
     111.750	 -2.0707e+03
     112.000	 -1.5733e+03
     112.250	 -1.1292e+03
     112.500	 -1.3513e+02
     112.750	  1.4868e+02
     113.000	 -8.0020e+02
     113.250	 -2.2147e+03
     113.500	 -3.6412e+03
     113.750	 -3.7879e+03
     114.000	 -1.9928e+03
     114.250	 -4.9176e+02
     114.500	 -6.7476e+02
     114.750	 -1.0847e+03
     115.000	 -8.9095e+02
     115.250	 -5.0688e+02
     115.500	 -1.3345e+02
     115.750	  5.5680e+01
     116.000	  4.0242e+01
     116.250	  4.1617e+01
     116.500	  2.8555e+02
     116.750	  6.8418e+02
     117.000	  5.1937e+02
     117.250	 -4.9820e+02
     117.500	 -1.2816e+03
     117.750	 -8.1726e+02
     118.000	  4.1305e+02
     118.250	  9.4193e+02
     118.500	  9.3742e+01
     118.750	 -8.3945e+02
     119.000	 -1.4294e+03
     119.250	 -2.9086e+03
     119.500	 -4.2340e+03
     119.750	 -3.6495e+03
     120.000	 -2.3319e+03
     120.250	 -1.9549e+03
     120.500	 -1.7076e+03
     120.750	 -2.2957e+02
     121.000	  1.1939e+03
     121.250	  1.0005e+03
     121.500	  3.3780e+02
     121.750	  3.5824e+02
     122.000	  6.3905e+02
     122.250	  5.8087e+02
     122.500	 -2.7213e+02
     122.750	 -1.5845e+03
     123.000	 -2.1747e+03
     123.250	 -1.6674e+03
     123.500	 -7.0832e+02
     123.750	  7.7180e+01
     124.000	  5.0937e+02
     124.250	  3.7743e+02
     124.500	 -1.7663e+02
     124.750	  1.3112e+02
     125.000	  1.1741e+03
     125.250	  1.0084e+03
     125.500	 -2.3613e+02
     125.750	 -1.0368e+03
     126.000	 -1.4484e+03
     126.250	 -2.1150e+03
     126.500	 -2.5646e+03
     126.750	 -2.0384e+03
     127.000	 -1.2705e+03
     127.250	 -1.2508e+03
     127.500	 -1.4102e+03
     127.750	 -1.6567e+03
     128.000	 -2.4308e+03
     128.250	 -2.6087e+03
     128.500	 -1.7534e+03
     128.750	 -1.2932e+03
     129.000	 -1.4768e+03
     129.250	 -1.1698e+03
     129.500	 -4.4132e+02
     129.750	  1.2055e+02
     130.000	  6.3668e+02
     130.250	  8.2674e+02
     130.500	  4.8380e+02
     130.750	 -7.6508e+01
     131.000	 -4.6495e+02
     131.250	 -1.9332e+02
     131.500	  6.4668e+02
     131.750	  1.5985e+03
     132.000	  2.0195e+03
     132.250	  1.1587e+03
     132.500	 -3.6938e+02
     132.750	 -7.6751e+02
     133.000	  7.5443e+02
     133.250	  2.4634e+03
     133.500	  2.0867e+03
     133.750	  3.6787e+02
     134.000	 -7.5513e+02
     134.250	 -1.7293e+03
     134.500	 -3.2384e+03
     134.750	 -3.6111e+03
     135.000	 -1.8813e+03
     135.250	  5.1680e+02
     135.500	  2.5727e+03
     135.750	  3.2334e+03
     136.000	  1.8563e+03
     136.250	  7.3987e+02
     136.500	  1.1364e+03
     136.750	  1.5984e+03
     137.000	  1.9772e+03
     137.250	  3.0761e+03
     137.500	  4.5569e+03
     137.750	  5.0109e+03
     138.000	  3.6032e+03
     138.250	  2.0505e+03
     138.500	  2.0360e+03
     138.750	  2.1167e+03
     139.000	  9.9112e+02
     139.250	  2.0018e+02
     139.500	  9.4299e+02
     139.750	  2.0911e+03
     140.000	  2.2658e+03
     140.250	  1.3507e+03
     140.500	  6.6680e+02
     140.750	  1.1923e+03
     141.000	  1.6174e+03
     141.250	  1.1324e+03
     141.500	  9.8130e+02
     141.750	  1.0492e+03
     142.000	  3.1668e+02
     142.250	 -1.8601e+02
     142.500	  2.6305e+02
     142.750	  4.4643e+02
     143.000	 -1.3758e+01
     143.250	 -2.5207e+02
     143.500	  1.5155e+02
     143.750	  9.7549e+02
     144.000	  1.3797e+03
     144.250	  7.6655e+02
     144.500	  3.1280e+02
     144.750	  9.6637e+02
     145.000	  1.2883e+03
     145.250	  4.2174e+02
     145.500	 -2.9232e+02
     145.750	  1.1137e+02
     146.000	  9.1293e+02
     146.250	  1.4562e+03
     146.500	  2.4211e+03
     146.750	  3.6911e+03
     147.000	  4.1498e+03
     147.250	  3.9521e+03
     147.500	  3.5877e+03
     147.750	  2.9357e+03
     148.000	  2.1402e+03
     148.250	  1.4594e+03
     148.500	  9.0674e+02
     148.750	  2.1587e+02
     149.000	 -7.6382e+02
