       Field	   Intensity
        [mT]	         [ ]
       0.000	 -6.1339e+02
       0.250	  2.2431e+02
       0.500	  1.6151e+03
       0.750	  2.8261e+03
       1.000	  3.2057e+03
       1.250	  3.3749e+03
       1.500	  3.6123e+03
       1.750	  3.3703e+03
       2.000	  3.1485e+03
       2.250	  3.4968e+03
       2.500	  3.4823e+03
       2.750	  2.6819e+03
       3.000	  1.8896e+03
       3.250	  1.4188e+03
       3.500	  1.1433e+03
       3.750	  1.4053e+03
       4.000	  1.9103e+03
       4.250	  1.7246e+03
       4.500	  1.2231e+03
       4.750	  1.0139e+03
       5.000	  1.2250e+03
       5.250	  2.4797e+03
       5.500	  4.0638e+03
       5.750	  4.3133e+03
       6.000	  3.3943e+03
       6.250	  2.4330e+03
       6.500	  1.7382e+03
       6.750	  1.1746e+03
       7.000	  3.8439e+02
       7.250	 -2.4661e+02
       7.500	  7.8296e+02
       7.750	  2.2237e+03
       8.000	  1.9910e+03
       8.250	  1.9685e+03
       8.500	  2.8831e+03
       8.750	  2.9556e+03
       9.000	  2.5009e+03
       9.250	  2.1775e+03
       9.500	  1.9683e+03
       9.750	  2.1716e+03
      10.000	  2.3688e+03
      10.250	  2.2466e+03
      10.500	  2.1066e+03
      10.750	  2.1888e+03
      11.000	  3.1068e+03
      11.250	  4.9151e+03
      11.500	  5.9507e+03
      11.750	  5.1388e+03
      12.000	  3.9778e+03
      12.250	  4.0136e+03
      12.500	  4.2578e+03
      12.750	  3.2856e+03
      13.000	  2.1293e+03
      13.250	  2.3616e+03
      13.500	  3.4075e+03
      13.750	  3.5570e+03
      14.000	  2.1846e+03
      14.250	  1.0571e+03
      14.500	  2.0161e+03
      14.750	  3.8753e+03
      15.000	  4.7385e+03
      15.250	  4.6574e+03
      15.500	  4.4418e+03
      15.750	  4.6401e+03
      16.000	  5.0139e+03
      16.250	  4.5173e+03
      16.500	  2.6663e+03
      16.750	  4.7783e+02
      17.000	  7.9080e+01
      17.250	  2.0178e+03
      17.500	  3.7107e+03
      17.750	  3.4491e+03
      18.000	  2.7898e+03
      18.250	  2.9089e+03
      18.500	  2.9841e+03
      18.750	  2.7571e+03
      19.000	  3.0660e+03
      19.250	  3.8115e+03
      19.500	  4.3514e+03
      19.750	  4.7082e+03
      20.000	  4.5185e+03
      20.250	  3.7889e+03
      20.500	  3.6245e+03
      20.750	  4.1270e+03
      21.000	  4.1992e+03
      21.250	  3.5875e+03
      21.500	  3.3042e+03
      21.750	  3.8126e+03
      22.000	  4.4265e+03
      22.250	  4.6644e+03
      22.500	  4.6741e+03
      22.750	  4.6406e+03
      23.000	  4.7261e+03
      23.250	  4.8796e+03
      23.500	  4.1031e+03
      23.750	  2.3183e+03
      24.000	  1.3028e+03
      24.250	  1.7068e+03
      24.500	  2.7281e+03
      24.750	  3.5990e+03
      25.000	  3.9413e+03
      25.250	  4.0812e+03
      25.500	  4.2665e+03
      25.750	  4.4843e+03
      26.000	  5.0486e+03
      26.250	  5.8698e+03
      26.500	  6.0755e+03
      26.750	  4.8860e+03
      27.000	  2.7170e+03
      27.250	  1.2678e+03
      27.500	  1.3603e+03
      27.750	  2.1701e+03
      28.000	  3.1733e+03
      28.250	  4.3976e+03
      28.500	  5.3141e+03
      28.750	  4.9462e+03
      29.000	  3.5806e+03
      29.250	  2.9026e+03
      29.500	  3.5631e+03
      29.750	  4.6838e+03
      30.000	  4.9931e+03
      30.250	  4.2313e+03
      30.500	  3.9296e+03
      30.750	  4.7920e+03
      31.000	  5.1461e+03
      31.250	  4.2845e+03
      31.500	  3.8831e+03
      31.750	  4.1575e+03
      32.000	  3.5618e+03
      32.250	  3.1026e+03
      32.500	  4.3838e+03
      32.750	  5.4533e+03
      33.000	  4.2865e+03
      33.250	  2.2365e+03
      33.500	  1.3192e+03
      33.750	  1.8553e+03
      34.000	  3.1395e+03
      34.250	  3.7291e+03
      34.500	  2.8712e+03
      34.750	  2.4126e+03
      35.000	  3.5875e+03
      35.250	  4.5914e+03
      35.500	  4.3853e+03
      35.750	  4.0998e+03
      36.000	  4.3112e+03
      36.250	  4.2438e+03
      36.500	  3.3503e+03
      36.750	  2.6496e+03
      37.000	  2.7795e+03
      37.250	  2.5030e+03
      37.500	  1.7437e+03
      37.750	  2.1818e+03
      38.000	  3.6588e+03
      38.250	  4.4859e+03
      38.500	  4.4620e+03
      38.750	  4.1315e+03
      39.000	  3.5918e+03
      39.250	  3.4949e+03
      39.500	  4.1895e+03
      39.750	  4.5496e+03
      40.000	  4.1662e+03
      40.250	  3.9693e+03
      40.500	  4.1455e+03
      40.750	  4.4855e+03
      41.000	  4.7322e+03
      41.250	  4.3555e+03
      41.500	  3.2269e+03
      41.750	  2.1457e+03
      42.000	  2.7102e+03
      42.250	  4.1887e+03
      42.500	  4.3946e+03
      42.750	  3.8170e+03
      43.000	  3.6750e+03
      43.250	  4.4638e+03
      43.500	  5.5428e+03
      43.750	  5.1953e+03
      44.000	  4.1506e+03
      44.250	  4.0962e+03
      44.500	  4.6029e+03
      44.750	  5.2819e+03
      45.000	  6.1980e+03
      45.250	  6.1676e+03
      45.500	  4.5833e+03
      45.750	  2.9481e+03
      46.000	  2.1156e+03
      46.250	  1.6397e+03
      46.500	  2.0703e+03
      46.750	  3.5508e+03
      47.000	  4.5355e+03
      47.250	  4.2858e+03
      47.500	  3.8363e+03
      47.750	  3.9291e+03
      48.000	  3.8942e+03
      48.250	  3.7415e+03
      48.500	  4.5756e+03
      48.750	  5.7400e+03
      49.000	  5.7352e+03
      49.250	  5.1692e+03
      49.500	  5.1766e+03
      49.750	  5.1789e+03
      50.000	  4.4211e+03
      50.250	  3.7303e+03
      50.500	  4.1415e+03
      50.750	  5.0100e+03
      51.000	  5.2403e+03
      51.250	  4.7413e+03
      51.500	  3.6837e+03
      51.750	  2.4503e+03
      52.000	  1.7210e+03
      52.250	  1.7200e+03
      52.500	  1.9896e+03
      52.750	  2.0784e+03
      53.000	  2.5582e+03
      53.250	  4.0960e+03
      53.500	  5.6597e+03
      53.750	  5.9020e+03
      54.000	  5.1555e+03
      54.250	  4.2345e+03
      54.500	  3.4580e+03
      54.750	  3.0016e+03
      55.000	  2.6476e+03
      55.250	  2.3344e+03
      55.500	  2.5606e+03
      55.750	  3.1475e+03
      56.000	  3.2202e+03
      56.250	  2.9263e+03
      56.500	  3.0481e+03
      56.750	  3.0873e+03
      57.000	  2.2314e+03
      57.250	  1.1390e+03
      57.500	  1.1067e+03
      57.750	  2.4365e+03
      58.000	  3.8481e+03
      58.250	  3.9838e+03
      58.500	  3.3795e+03
      58.750	  3.2626e+03
      59.000	  3.2899e+03
      59.250	  2.7012e+03
      59.500	  1.9452e+03
      59.750	  2.0565e+03
      60.000	  3.1533e+03
      60.250	  3.6564e+03
      60.500	  3.0539e+03
      60.750	  2.8885e+03
      61.000	  3.4425e+03
      61.250	  3.7175e+03
      61.500	  3.4929e+03
      61.750	  3.3607e+03
      62.000	  3.7064e+03
      62.250	  4.1841e+03
      62.500	  4.2439e+03
      62.750	  3.4091e+03
      63.000	  2.2551e+03
      63.250	  2.1620e+03
      63.500	  2.6217e+03
      63.750	  2.5061e+03
      64.000	  2.7360e+03
      64.250	  3.7318e+03
      64.500	  4.3286e+03
      64.750	  4.4266e+03
      65.000	  4.3446e+03
      65.250	  3.7343e+03
      65.500	  2.9970e+03
      65.750	  2.6995e+03
      66.000	  2.3650e+03
      66.250	  1.2921e+03
      66.500	  1.0393e+01
      66.750	 -2.2923e+02
      67.000	  3.9183e+02
      67.250	  9.1133e+02
      67.500	  1.0264e+03
      67.750	  5.0664e+02
      68.000	 -3.4154e+02
      68.250	 -6.8267e+02
      68.500	 -6.5273e+02
      68.750	  4.5330e+01
      69.000	  2.2596e+03
      69.250	  3.7742e+03
      69.500	  2.1085e+03
      69.750	 -5.9267e+02
      70.000	 -1.2108e+03
      70.250	 -3.1442e+02
      70.500	 -2.0573e+02
      70.750	 -7.5967e+02
      71.000	 -6.2104e+02
      71.250	 -2.4354e+02
      71.500	  2.6271e+02
