Lu_2uM_1cm,,Lu_2uM_1cm1,,Lu_5uM_1cm,,Lu_10uM_1cm,,Lu_20uM_1cm,,Lu_50uM_1cm,,Lu_100uM_1mm,,Lu_200uM_1mm,,Lu_500uM_1mm,,Lu_1mM_1mm,,Cell1 Blank,,Lu_2mM_100um,,Lu_5mM_100um,,Lu_10mM_100um,,Lu_20mM_100um,,Lu_30mM_100um,,Lu_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
584,0.001853866037,584,0.001921020681,584,0.002738185693,584,0.001375530264,584,0.001794077689,584,0.0005314792506,584,-0.0005828196299,584,-0.002596249105,584,0.001442481065,584,0.0005168101052,584,8.245463687E-5,584,-0.0003147628158,584,0.0001494913013,584,-0.001373664476,584,-0.002120261081,584,-0.003104152624,584,-0.002005356597,
583,0.001905550482,583,0.001935633365,583,0.002556839492,583,0.00143829966,583,0.001641680719,583,0.0004739458382,583,-0.0005757363397,583,-0.002557752887,583,0.001602654578,583,0.0008140478167,583,0.0001512780582,583,-0.0003025533224,583,-0.0003475094854,583,-0.001355601125,583,-0.002130461857,583,-0.00310297031,583,-0.001940265065,
582,0.001785006141,582,0.00206625904,582,0.002692470793,582,0.001382178045,582,0.001686063712,582,0.000439196243,582,-0.0005228405935,582,-0.00261724554,582,0.001403628616,582,0.0005756711471,582,0.0002288404648,582,-0.0005341131473,582,-0.0002821689122,582,-0.001376090106,582,-0.002171571599,582,-0.00332153379,582,-0.002064513043,
581,0.001741054934,581,0.001978902146,581,0.002710417612,581,0.001433988335,581,0.001771724201,581,0.0005201274762,581,-0.0004485274549,581,-0.00295665185,581,0.001396538923,581,0.0004815906286,581,0.0001463321387,581,-0.0005238230806,581,-0.0001078793139,581,-0.00128994754,581,-0.002107174834,581,-0.003237986006,581,-0.002024011454,
580,0.001960751601,580,0.002123743529,580,0.002784478478,580,0.001371453283,580,0.00172808615,580,0.0007125259726,580,-0.0005055174697,580,-0.002715627663,580,0.001654984779,580,0.000791926228,580,0.0001242186408,580,-0.0003652526939,580,-0.0002719245967,580,-0.001395029831,580,-0.002229314763,580,-0.003265271895,580,-0.001981135225,
579,0.001863744808,579,0.002052032156,579,0.002594389254,579,0.001323389472,579,0.00168351701,579,0.0005953969085,579,-0.0004126333224,579,-0.002524709096,579,0.00151848211,579,0.0007506165421,579,0.0001491805742,579,-0.0003690288577,579,-0.0002904986904,579,-0.001362620154,579,-0.002150914166,579,-0.003490686882,579,-0.002422422636,
578,0.001731542754,578,0.001937349443,578,0.002532233484,578,0.001193843549,578,0.001707893098,578,0.0003402748844,578,-0.0004862803034,578,-0.002725608647,578,0.001341721043,578,0.0005110825296,578,0.0001031419451,578,-0.0004599570821,578,-1.035438615E-7,578,-0.001305226353,578,-0.002046581358,578,-0.003296306822,578,-0.002635616809,
577,0.001820331556,577,0.002035907004,577,0.002813423751,577,0.001164824353,577,0.001788411289,577,0.0005983260344,577,-0.0006316240178,577,-0.002848757897,577,0.001386099379,577,0.0005065212608,577,-4.809346501E-5,577,-0.0003602350189,577,-2.39697456E-5,577,-0.001077847439,577,-0.002059360268,577,-0.003197388025,577,-0.002670967486,
576,0.001974247396,576,0.001974377548,576,0.002678692341,576,0.001272189547,576,0.001603304059,576,0.0006668942515,576,-0.0004178573145,576,-0.0025505987,576,0.001571087982,576,0.000845066621,576,9.716090426E-5,576,-0.0003964955395,576,-0.0001942048839,576,-0.001362516894,576,-0.00216157781,576,-0.003425920382,576,-0.003132577753,
575,0.001790048787,575,0.002238345332,575,0.002622931032,575,0.001431469107,575,0.001847158885,575,0.0007873619907,575,-0.0003817020042,575,-0.002577567473,575,0.001546849497,575,0.0006695905467,575,0.0001307438215,575,-0.0004739204887,575,-0.0001879432239,575,-0.001344401506,575,-0.002085277578,575,-0.003371007508,575,-0.003383130999,
574,0.002054580953,574,0.002054372802,574,0.002837498439,574,0.001289272797,574,0.001766317873,574,0.0006876871921,574,-0.0003871332738,574,-0.002689747838,574,0.001568723819,574,0.0008928440511,574,0.0002394594339,574,-0.0005779078347,574,-0.0003301794059,574,-0.001324994955,574,-0.002286277479,574,-0.003199649276,574,-0.003504347755,
573,0.002067403402,573,0.002266837982,573,0.002966493135,573,0.001361273928,573,0.001876197755,573,0.0007123963442,573,-0.0003595107992,573,-0.002515495522,573,0.001750385505,573,0.001006394974,573,0.0001751021045,573,-0.0003917885479,573,-0.0001584449928,573,-0.001362723415,573,-0.002392406343,573,-0.003255765652,573,-0.00352827902,
572,0.002002514666,572,0.002195493085,572,0.002624754095,572,0.001340111136,572,0.00169188471,572,0.0009031679947,572,-0.0003937541042,572,-0.002581530251,572,0.001570854103,572,0.0009364501457,572,0.0001430694247,572,-0.0003870815272,572,-0.0002186813654,572,-0.001275545801,572,-0.002130204113,572,-0.003324667923,572,-0.003361092648,
571,0.001961635659,571,0.002148040337,571,0.002886381699,571,0.001267490443,571,0.001970372861,571,0.0006487725186,571,-0.0003151249548,571,-0.002459437819,571,0.001920604613,571,0.0008680468891,571,0.0001955089538,571,-0.0004163056437,571,-3.106315205E-7,571,-0.001092823804,571,-0.002243221272,571,-0.003319067648,571,-0.003316704417,
570,0.00196452206,570,0.002024463844,570,0.002735919319,570,0.00131521048,570,0.001819239813,570,0.0007250236813,570,-0.00064656412,570,-0.002670504386,570,0.001540328958,570,0.0008634818369,570,0.0001545149426,570,-0.0004031679709,570,2.534310261E-5,570,-0.001213803771,570,-0.002270724159,570,-0.003221284831,570,-0.003177858656,
569,0.002215396613,569,0.002120986348,569,0.002701353049,569,0.001241192105,569,0.001706437673,569,0.000723156787,569,-0.0002777194022,569,-0.002404248342,569,0.001733258017,569,0.001069941442,569,0.0001817834273,569,-0.0004674042866,569,-4.348624861E-5,569,-0.001276836265,569,-0.002351935254,569,-0.00335256476,569,-0.002788730897,
568,0.001858753385,568,0.001852280227,568,0.00268546422,568,0.001042227959,568,0.001612709602,568,0.0006770053878,568,-0.0005059312098,568,-0.002674415009,568,0.001696224557,568,0.001007614424,568,0.0007254903903,568,-0.0005657574511,568,-0.0001134175036,568,-0.001302697114,568,-0.00226938515,568,-0.003366332734,568,-0.002792743267,
567,0.002032838296,567,0.002202855889,567,0.00283121923,567,0.001305993297,567,0.001817238168,567,0.0006478133146,567,-0.0003318865784,567,-0.002510759979,567,0.0015052862,567,0.0008993289084,567,0.0008082644199,567,-0.0004205985751,567,-2.350382238E-5,567,-0.001228155917,567,-0.002291633515,567,-0.003369466402,567,-0.002450377448,
566,0.001866240636,566,0.002193541732,566,0.002843361115,566,0.001210067072,566,0.001787449466,566,0.0007349546649,566,-0.0004280981666,566,-0.002595837461,566,0.001647293335,566,0.001078297384,566,0.0008290382102,566,-0.0005221683532,566,2.081281673E-5,566,-0.001168369199,566,-0.002149986802,566,-0.003289421787,566,-0.002532841638,
565,0.002095130505,565,0.002364194952,565,0.002920884639,565,0.001339643844,565,0.001948296325,565,0.0009456336265,565,-0.0004852460406,565,-0.002272217767,565,0.001767019741,565,0.001252432936,565,0.0009717324865,565,-0.0004287705524,565,-0.0002941720304,565,-0.001264602179,565,-0.002299204003,565,-0.003428180469,565,-0.002454804722,
564,0.001694613369,564,0.001917926595,564,0.00264030206,564,0.001188704045,564,0.001705190283,564,0.0006392064388,564,-0.0002028985909,564,-0.00237351004,564,0.001943303854,564,0.001104819356,564,0.0009564777138,564,-0.0005734613515,564,-0.0001245454187,564,-0.001124633942,564,-0.002312696306,564,-0.003456995124,564,-0.002522753086,
563,0.002021993278,563,0.002111361595,563,0.002985232975,563,0.001183434855,563,0.001864888705,563,0.0007144965348,563,-0.0005023630802,563,-0.002438794123,563,0.001825998421,563,0.001015528105,563,0.001007770072,563,-0.0004025472736,563,3.279876182E-5,563,-0.001197540783,563,-0.002167553641,563,-0.003494949546,563,-0.002667159773,
562,0.002056479454,562,0.002090994734,562,0.002547361422,562,0.001222293591,562,0.001667067874,562,0.0008222950855,562,-0.0004801262985,562,-0.002434778493,562,0.001749059884,562,0.001284339814,562,0.0009813577635,562,-0.0004017197061,562,-0.00031331426,562,-0.001181277214,562,-0.002234929008,562,-0.003609871259,562,-0.002919884399,
561,0.002155844588,561,0.002267280361,561,0.002975954209,561,0.00134860212,561,0.002112011891,561,0.001050245948,561,-0.0002798406931,561,-0.002349515213,561,0.001761067659,561,0.001182059175,561,0.001131576602,561,-0.0004225639859,561,-0.0002457436058,561,-0.001264137565,561,-0.00237824698,561,-0.003567459527,561,-0.003137049498,
