Cell1 Blank,,Gd_100mM_1_1,,Gd_100mM_1_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
512,-0.009475647472,512,0.005147811957,512,0.003906155936,
511,-0.009732491337,511,0.005311585497,511,0.003910178319,
510,-0.009589808062,510,0.004861730151,510,0.003765105503,
509,-0.009410146624,509,0.004681352992,509,0.00397096388,
508,-0.009573450312,508,0.00485612778,508,0.004401487764,
507,-0.009205169044,507,0.00425591087,507,0.003964093514,
506,-0.009053033777,506,0.004378947429,506,0.004076908808,
505,-0.009337287396,505,0.004858431406,505,0.004336196929,
504,-0.009355832823,504,0.005147445481,504,0.004028335679,
503,-0.009140488692,503,0.004995647818,503,0.003981518093,
502,-0.00925174728,502,0.005445065442,502,0.004146446474,
501,-0.009317982011,501,0.005727676675,501,0.004191818181,
500,-0.009327153675,500,0.005667903461,500,0.003938859329,
499,-0.009280532598,499,0.005577957258,499,0.004034710582,
498,-0.009488615207,498,0.005807841662,498,0.004308718722,
497,-0.009369716048,497,0.005085918587,497,0.004090705421,
496,-0.009410146624,496,0.004986378364,496,0.004217328504,
495,-0.009409639984,495,0.004916443955,495,0.004246134311,
494,-0.009377163835,494,0.004984702449,494,0.004040772095,
493,-0.009283826686,493,0.00511852745,493,0.003930291161,
492,-0.009448090568,492,0.005333492998,492,0.004398271441,
491,-0.009532073513,491,0.005800023675,491,0.004565110896,
490,-0.009442872368,490,0.005725761876,490,0.004409018904,
489,-0.00955071114,489,0.005636485759,489,0.004507040605,
488,-0.009958066978,488,0.006308552809,488,0.004673686344,
487,-0.009971273132,487,0.006031862926,487,0.004519517068,
486,-0.00988960173,486,0.00561191421,486,0.00444665039,
485,-0.01014321763,485,0.005607587751,485,0.004765800666,
484,-0.01005915087,484,0.005273119081,484,0.004460014403,
483,-0.01016294211,483,0.005068658851,483,0.004627244081,
482,-0.01005404163,482,0.004979308229,482,0.004556582775,
481,-0.01027884334,481,0.005454449914,481,0.00478608394,
480,-0.0101274373,480,0.005538208876,480,0.004225144163,
479,-0.01043090411,479,0.006064726971,479,0.00490508182,
