Cell1 Blank,,Ho_100mM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
463,-0.01976246946,463,0.01467667706,
462,-0.01972373389,462,0.0147685539,
461,-0.01993582398,461,0.01512331143,
460,-0.02012527175,460,0.01520027034,
459,-0.02011385374,459,0.01536651235,
458,-0.02030035853,458,0.01548723783,
457,-0.02043857798,457,0.01583315991,
456,-0.02036888152,456,0.01576424763,
455,-0.02029551566,455,0.0159618035,
454,-0.01993478462,454,0.01579076983,
453,-0.0197378844,453,0.01579189673,
452,-0.01956237294,452,0.01582056843,
451,-0.01959750988,451,0.01615125313,
450,-0.01990654878,450,0.01652271114,
449,-0.01995639503,449,0.01679139584,
448,-0.02005730383,448,0.0169883687,
447,-0.02030742355,447,0.0168633759,
446,-0.02019777521,446,0.01672209054,
445,-0.02005275525,445,0.01676519029,
444,-0.01981762424,444,0.01658493839,
443,-0.019601468,443,0.01649434306,
442,-0.01936599426,442,0.01657617092,
441,-0.01951871812,441,0.01703838632,
440,-0.01989077404,440,0.01770596579,
439,-0.01960686222,439,0.01781582646,
438,-0.01973996125,438,0.01854989491,
437,-0.01995698735,437,0.0190604385,
436,-0.01983978227,436,0.01924082823,
435,-0.01937139034,435,0.01918490045,
434,-0.01945347711,434,0.01988589577,
433,-0.01943605021,433,0.02010805532,
432,-0.01932227053,432,0.02075167187,
431,-0.01941322722,431,0.02185983583,
430,-0.01976865344,430,0.0227115564,
429,-0.01991525292,429,0.02369626239,
428,-0.02005087771,428,0.0247323066,
427,-0.02015181258,427,0.02589415386,
426,-0.01986945793,426,0.02656302974,
425,-0.01957835816,425,0.02779990993,
424,-0.01971527375,424,0.02903440036,
423,-0.01974020898,423,0.03042469919,
422,-0.01978334598,422,0.03219278157,
421,-0.01998003013,421,0.03442235291,
420,-0.02017341182,420,0.03653552383,
419,-0.0202490706,419,0.03876276687,
418,-0.02018349431,418,0.04169115797,
417,-0.01997394674,417,0.04432271421,
416,-0.01999140158,416,0.04720850289,
415,-0.01963313855,415,0.05060775951,
414,-0.01984418556,414,0.05458880961,
413,-0.02014963888,413,0.05944048241,
412,-0.02003545314,412,0.06483191252,
411,-0.01970597357,411,0.07113705575,
410,-0.01950599812,410,0.07730447501,
409,-0.01993567497,409,0.08562384546,
408,-0.01970617101,408,0.09466484189,
407,-0.01964432187,407,0.1043486148,
406,-0.01975005306,406,0.1162733063,
405,-0.01993251033,405,0.1299114972,
404,-0.02011607774,404,0.1455646306,
403,-0.02044988982,403,0.1630866826,
402,-0.02036962286,402,0.1836737543,
401,-0.02010080405,401,0.2069232017,
400,-0.02012774348,400,0.2326692194,
399,-0.02012111992,399,0.2631558776,
398,-0.007894731127,398,0.3230989873,
397,-0.009598974138,397,0.3590661287,
396,-0.00855986122,396,0.4031078517,
395,-0.008094128221,395,0.4542773366,
394,-0.009295888245,394,0.5075113177,
393,-0.007783531677,393,0.5602084994,
392,-0.01039213594,392,0.6172428131,
391,-0.01055714302,391,0.6722190976,
390,-0.007674236316,390,0.7239699364,
389,-0.005675884895,389,0.7678634524,
388,-0.006592361722,388,0.803745687,
387,-0.009887527674,387,0.8310264945,
386,-0.01099051256,386,0.8424693346,
385,-0.009646421298,385,0.8450026512,
384,-0.009491451085,384,0.8387452364,
383,-0.008369107731,383,0.8247185946,
382,-0.009278151207,382,0.8115003705,
381,-0.009692952037,381,0.7968300581,
380,-0.008068668656,380,0.7850962281,
379,-0.008226026781,379,0.7757123113,
378,-0.009385574609,378,0.7709599137,
377,-0.007789989933,377,0.7711668611,
376,-0.007733998355,376,0.7782629728,
375,-0.008977427147,375,0.7929396033,
374,-0.009068193845,374,0.814368248,
373,-0.009164466523,373,0.8408403397,
372,-0.007809160277,372,0.8719860911,
371,-0.008415673859,371,0.9046797156,
370,-0.007343384903,370,0.9420526028,
369,-0.006676337216,369,0.9769099355,
368,-0.007935349829,368,1.018767595,
367,-0.007677898277,367,1.034537673,
366,-0.008657210506,366,1.057716846,
365,-0.007780785672,365,1.066693306,
364,-0.007082882337,364,1.064124703,
363,-0.006741589401,363,1.059604168,
362,-0.007065513637,362,1.04226017,
361,-0.007016509771,361,1.02202642,
360,-0.006913747173,360,0.9991889596,
359,-0.007210607175,359,0.9756765366,
358,-0.00643711444,358,0.9511914849,
357,-0.006179589313,357,0.9261660576,
356,-0.005881359335,356,0.9037117958,
355,-0.006476390176,355,0.88482517,
354,-0.005762848072,354,0.8682555556,
353,-0.005608581472,353,0.8547996283,
352,-0.005083234981,352,0.8436304331,
351,-0.005050741136,351,0.8353167176,
350,-0.005553535186,350,0.8284352422,
349,-0.005021417979,349,0.8204516172,
348,-0.004103411455,348,0.8095652461,
347,-0.004160334356,347,0.8006393313,
346,-0.003359500086,346,0.7865729928,
345,-0.003237215104,345,0.7700234652,
344,-0.003411486512,344,0.7512067556,
343,-0.003114741528,343,0.7321618795,
342,-0.002826692304,342,0.708578825,
341,-0.003002002602,341,0.6860389709,
340,-0.003298721742,340,0.6650019884,
339,-0.002555591054,339,0.6408029199,
338,-0.001535478397,338,0.6180958748,
337,-0.002226327313,337,0.6012246013,
336,-0.001160365995,336,0.5839402676,
335,-0.0008351579309,335,0.5687993765,
334,-0.001629515318,334,0.5566256046,
333,-0.001279726974,333,0.5456898212,
332,-0.002049209317,332,0.5358392596,
331,-0.0007917509065,331,0.5255556107,
330,-0.0008736005402,330,0.5173890591,
329,-0.0007831723196,329,0.5089663267,
328,-0.0003738912637,328,0.5004202724,
327,-0.0007487529656,327,0.4918062091,
326,-0.001276784693,326,0.4847046733,
325,0.0004539664369,325,0.4746725261,
324,-0.0004186331353,324,0.4676545262,
323,-0.0004943476524,323,0.459343642,
322,-0.0006012770464,322,0.4540264308,
321,-0.001325253048,321,0.4488029182,
320,-0.0004029093543,320,0.4437274337,
319,-0.0005644131452,319,0.4406299889,
318,-0.0005994157982,318,0.4394011796,
317,5.995604079E-5,317,0.436896801,
316,-0.0004903657245,316,0.4384326041,
315,-8.335201528E-6,315,0.4360625744,
314,-0.0008818673086,314,0.4387456179,
313,-0.0007405353244,313,0.4386070371,
312,-0.0004747479397,312,0.437312156,
311,-0.0009796101367,311,0.4377951026,
310,-0.000985085615,310,0.4373543561,
309,-0.001457520062,309,0.4363288879,
308,-0.001763546024,308,0.4332286417,
307,-0.001150090829,307,0.430511415,
306,-0.001344040269,306,0.428650558,
305,-0.001969900215,305,0.4253369272,
304,-0.002128503984,304,0.4217495322,
303,-0.001827065949,303,0.4177648425,
302,-0.002286432078,302,0.4143714011,
301,-0.002290603472,301,0.4102911949,
300,-0.002937111538,300,0.4076079726,
299,-0.003206175985,299,0.403250128,
298,-0.003387600183,298,0.3991073668,
297,-0.003957173321,297,0.3937731087,
296,-0.004418034106,296,0.3900793791,
295,-0.004314449616,295,0.3841314316,
294,-0.005521280691,294,0.3786795437,
293,-0.005460906308,293,0.3722728789,
292,-0.005192059092,292,0.3634102941,
291,-0.006558603607,291,0.357480377,
290,-0.007148480974,290,0.3491973877,
289,-0.007356976159,289,0.3413568735,
288,-0.008461778983,288,0.3350045681,
287,-0.009062362835,287,0.32823807,
286,-0.009590770118,286,0.3204476833,
285,-0.0105218729,285,0.314465642,
284,-0.01068501174,284,0.3072629869,
283,-0.01199653838,283,0.3022640347,
282,-0.01230272837,282,0.2956257463,
281,-0.01318700984,281,0.2905003428,
280,-0.01379945595,280,0.2858801186,
279,-0.01460506395,279,0.2813429236,
278,-0.01500285789,278,0.2762500048,
277,-0.01598517038,277,0.2729817927,
276,-0.01693554223,276,0.2690251768,
275,-0.01796044409,275,0.2661543787,
274,-0.01869138703,274,0.2628370821,
273,-0.01942322776,273,0.2604931891,
272,-0.02061136626,272,0.2588480115,
271,-0.02139602229,271,0.256269604,
270,-0.02269957401,270,0.2557543516,
269,-0.0230633188,269,0.2542317808,
268,-0.02404282242,268,0.2546824515,
267,-0.02513779514,267,0.2555916309,
266,-0.02596416511,266,0.2581421137,
265,-0.02720518038,265,0.2613519728,
264,-0.02753810771,264,0.2660372555,
263,-0.02753669955,263,0.2707954645,
262,-0.02808751911,262,0.2782342732,
261,-0.02837210149,261,0.2867688835,
260,-0.02903572284,260,0.2971502542,
259,-0.02986220829,259,0.3089116216,
258,-0.03061041422,258,0.3237500489,
257,-0.03069025837,257,0.3402783275,
256,-0.03156261519,256,0.3607106209,
255,-0.03191271424,255,0.384732455,
254,-0.03247295693,254,0.413207531,
253,-0.03264500946,253,0.446246624,
252,-0.03322349489,252,0.4855913818,
251,-0.03371886909,251,0.5301797986,
250,-0.0342389904,250,0.579195261,

Cell1 Blank,
Cell1 Blank
Collection Time: 3/3/2021 10:38:31 AM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        600.00
Stop (nm)                         250.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            400.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Temperature (°C)                  25.02
Comments
Method Log     :
Method Name    : C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSW
Date/Time stamp: 12/2/2020 1:13:26 PM
Method Modifications:
X Start nm Changed: 12/2/2020 1:12:58 PM, Old: 800.00, New: 600.00
X Stop nm Changed: 12/2/2020 1:12:58 PM, Old: 200.00, New: 250.00
Y Max Abs Changed: 12/2/2020 1:12:58 PM, Old:     1.00, New:     3.00
Source changeover Changed: 12/2/2020 1:12:58 PM, Old:   350.00, New:   400.00
Baseline Correction Changed: 12/2/2020 1:12:58 PM, Old:0, New:1
Cell Changer Changed: 12/2/2020 1:12:58 PM, Old:OFF, New:ON
Cell2 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell3 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell4 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell5 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell6 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Auto Temp Setting Changed: 12/2/2020 1:12:58 PM, Old:0, New:1
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSW
Opened C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSW
End Method Modifications
<Current Block Temp> , 25.07
<Current Cell> , 1
<SBW (nm)> , 2.00
<Energy> , 168.00
<Current Wavelength> , 250.00

Ho_100mM,
Ho_100mM
Collection Time: 3/3/2021 10:42:14 AM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        600.00
Stop (nm)                         250.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            400.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Temperature (°C)                  25.07
Comments
Method Log     :
Method Name    : C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSW
Date/Time stamp: 12/2/2020 1:13:26 PM
Method Modifications:
X Start nm Changed: 12/2/2020 1:12:58 PM, Old: 800.00, New: 600.00
X Stop nm Changed: 12/2/2020 1:12:58 PM, Old: 200.00, New: 250.00
Y Max Abs Changed: 12/2/2020 1:12:58 PM, Old:     1.00, New:     3.00
Source changeover Changed: 12/2/2020 1:12:58 PM, Old:   350.00, New:   400.00
Baseline Correction Changed: 12/2/2020 1:12:58 PM, Old:0, New:1
Cell Changer Changed: 12/2/2020 1:12:58 PM, Old:OFF, New:ON
Cell2 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell3 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell4 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell5 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Cell6 Changed: 12/2/2020 1:12:58 PM, Old:ON, New:OFF
Auto Temp Setting Changed: 12/2/2020 1:12:58 PM, Old:0, New:1
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSWOpened C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\concentration25C.MSW
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Michi\methods\Ho_100mM.BSW
End Method Modifications
<Current Block Temp> , 25.07
<Current Cell> , 1
<SBW (nm)> , 2.00
<Energy> , 172.00
<Current Wavelength> , 253.00

